data_id,name,gamestyle,theme,difficulty,clear_rate,clears,attempts,plays,likes,boos,num_comments,timer,autoscroll_speed,uploaded,gamestyle_name
3007570,super mario land！,0,0,0,69.28974979822438,3434,4956,3538,952,233,247,300,0,1561689022,SMB1
3001640,A Humble Beginning,0,9,0,52.975653742110005,2350,4436,2650,926,547,72,300,0,1561668758,SMB1
3031243,悪魔城メットキングダム,0,5,1,47.59459973378969,2503,5259,3176,924,38,140,500,0,1561724595,SMB1
3022218,Goomba Forest,0,9,1,21.576939381093684,1527,7077,2555,922,505,120,300,0,1561718948,SMB1
3009401,Ascend The Temple,0,7,0,54.41022051102556,3109,5714,3582,914,143,205,300,0,1561695480,SMB1
3120854,Goomba Cabin Break in ,0,6,1,19.334815638317586,2087,10794,3516,879,85,225,300,0,1561761902,SMB1
3092600,Thwomp Controller,0,2,0,44.036259541984734,2769,6288,3389,858,59,169,300,0,1561752926,SMB1
3137061,W1-1 - Starter Way,0,0,0,47.79523568170299,3772,7892,4205,852,22,124,300,0,1561766670,SMB1
3175526,Cliff Climb,0,0,0,44.54879542670478,1091,2449,1371,829,430,60,300,0,1561777231,SMB1
3016687,Super Mario Land 1-1,0,7,0,66.0873440285205,2966,4488,3134,814,150,150,300,0,1561715056,SMB1
3002671,クッパの中　Bowser's inside story,0,4,1,37.995337995338,2282,6006,3195,746,75,238,500,0,1561671328,SMB1
3119863,Unjust Quest 1-1 Boardwalk Blitz,0,9,0,52.360876897133224,1863,3558,2274,744,416,85,300,0,1561761603,SMB1
3076424,Minigame: Table Tennis,0,1,0,46.93281402142161,2410,5135,2967,736,73,201,300,0,1561747370,SMB1
3115592,Super Mario Bros 1-1 Remix,0,0,0,53.01268498942917,2006,3784,2531,736,275,167,500,0,1561760291,SMB1
3005269,1-1 柿、ときどきタツマキ,0,0,0,69.04942965779468,3632,5260,3976,733,199,199,300,0,1561678655,SMB1
3028504,Ruins of 1-1,0,7,1,17.566427667650782,1666,9484,2747,730,71,132,300,0,1561722870,SMB1
3073007,いろいろ土管平原 / Colorful Pipe,0,0,0,53.19712447975785,4218,7929,5099,720,55,161,500,0,1561746138,SMB1
3033295,100 cherry pies,0,9,0,65.60283687943263,1850,2820,1987,718,337,74,300,0,1561725886,SMB1
3100849,Mario's Desert Adventure,0,7,0,46.907630522088354,1752,3735,1955,711,378,78,300,0,1561755602,SMB1
3008490,SUPER MARIO MAKER 2,0,0,0,34.36140767101622,1738,5058,2132,702,383,113,300,2,1561692656,SMB1
3002963,Jungle Fever,0,9,1,19.60318403231555,1650,8417,2421,700,72,145,300,0,1561671996,SMB1
3012130,SMB Deluxe VS Mode: 1-4 Remake,0,2,0,40.22681787858573,1206,2998,2021,663,256,40,300,0,1561703023,SMB1
3103924,SMB1.5: 1-2 Koopa Cavern,0,0,0,39.71380471380471,2359,5940,3074,661,165,133,300,0,1561756595,SMB1
3027739,Snowy Plains,0,6,1,30.331463539010713,2974,9805,4131,659,103,190,300,0,1561722383,SMB1
3001683,1-1 in Wintertime,0,6,0,65.72136563876651,2387,3632,2540,653,312,101,300,0,1561668899,SMB1
3002516,Xenoblade2,0,0,1,36.886102403343784,1765,4785,2657,640,217,249,300,0,1561670962,SMB1
3074734,Delano's Fun Time,0,0,1,21.888153938665063,364,1663,548,640,864,24,400,0,1561746751,SMB1
3008958,Midnight Ball Burglar,0,5,1,48.20751967356456,1654,3431,2104,636,50,117,500,0,1561694081,SMB1
3118846,Snowy Hills,0,6,0,56.896551724137936,1287,2262,1465,635,291,61,300,0,1561761304,SMB1
3019428,おそらのゴキゲンはシーソーしだい　/  Gramble sky,0,8,1,27.530843332769983,1629,5917,2360,634,34,114,300,0,1561717158,SMB1
3010357,ワンワンの森/Chain Chomp Forest,0,9,0,43.27485380116959,1924,4446,2182,623,222,74,400,0,1561698031,SMB1
3010332,W1-3 Frightning Forest,0,9,0,36.91776883266245,1284,3478,1596,613,277,52,300,0,1561697977,SMB1
3101634,Temple of the Sun God,0,7,1,42.857142857142854,519,1211,697,613,609,20,300,0,1561755839,SMB1
3170317,[SMB Deluxe] VS Game 1-4,0,2,0,51.681957186544345,507,981,591,612,602,18,300,0,1561775813,SMB1
3128323,Heavenly Way,0,7,1,31.242067089755217,1723,5515,2170,606,34,89,300,0,1561764159,SMB1
3011086,SMB Deluxe VS Mode: 1-3 Remake,0,8,0,68.98509581263306,972,1409,1503,604,277,23,300,0,1561699901,SMB1
